date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:45	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225ba002b-2876e-57d03109e3ec6%22	http://povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfont.eot?	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfontd41d.eot	(from http://povestea-noastra.com/theme/help404/_landing/css/font-awesome.min.css)
12:41:49	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%225ba002e-286ac-57d0311012f55%22	http://povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfont.ttf?v=4.7.0	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfont3e6e.ttf	(from http://povestea-noastra.com/theme/help404/_landing/css/font-awesome.min.css)
12:42:03	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%225ba002d-6c7db-57d0310d38f72%22	http://povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfont.svg?v=4.7.0	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfont3e6e.svg	(from http://povestea-noastra.com/theme/help404/_landing/css/font-awesome.min.css)
12:42:05	6682/6682	---M--	200	added ('OK')	image/png	etag:%225ba00e7-1a1a-57d03165dcc26%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/sprite.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/sprite.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:21	1097/1097	---M--	200	added ('OK')	image/png	etag:%225ba00ea-449-57d03166c04d6%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/sprite_x.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/sprite_x.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:22	1162/1162	---M--	200	added ('OK')	image/png	etag:%225ba00eb-48a-57d03167ba8d0%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/sprite_y.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/sprite_y.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:23	1358/1358	---M--	200	added ('OK')	image/png	etag:%225ba00e8-54e-57d03165c0704%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/sprite_next.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/sprite_next.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:23	1376/1376	---M--	200	added ('OK')	image/png	etag:%225ba00e9-560-57d03166bd5f6%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/sprite_prev.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/sprite_prev.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:24	1537/1537	---M--	200	added ('OK')	image/png	etag:%225ba00e5-601-57d03164b6522%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/default_thumb.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/default_thumb.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:25	6331/6331	---M--	200	added ('OK')	image/gif	etag:%225ba00e6-18bb-57d03164d93bc%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/loader.gif	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/default/loader.gif	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:27	4099/4099	---M--	200	added ('OK')	image/png	etag:%225ba00f9-1003-57d031727a8d0%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_rounded/sprite.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_rounded/sprite.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:27	1411/1411	---M--	200	added ('OK')	image/png	etag:%225ba00f6-583-57d031707ef95%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_rounded/btnNext.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_rounded/btnNext.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:28	1442/1442	---M--	200	added ('OK')	image/png	etag:%225ba00f5-5a2-57d031707ad2c%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_rounded/btnPrevious.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_rounded/btnPrevious.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:30	4076/4076	---M--	200	added ('OK')	image/png	etag:%225ba00de-fec-57d0315bb8861%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_rounded/sprite.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_rounded/sprite.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
